t=2023-02-13T08:37:04+0700 lvl=info msg="no configuration paths supplied"
t=2023-02-13T08:37:04+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\Damar\\AppData\\Local/ngrok/ngrok.yml
t=2023-02-13T08:37:04+0700 lvl=info msg="open config file" path=C:\\Users\\Damar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2023-02-13T08:38:49+0700 lvl=info msg="join connections" obj=join id=eb8ca18e4799 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:50+0700 lvl=info msg="join connections" obj=join id=e846ed371d1c l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:50+0700 lvl=info msg="join connections" obj=join id=068b8f0acdf5 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:52+0700 lvl=info msg="join connections" obj=join id=b882d9d440fa l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:53+0700 lvl=info msg="join connections" obj=join id=c0aaffab48e9 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:53+0700 lvl=info msg="join connections" obj=join id=3f992e9b086b l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:53+0700 lvl=info msg="join connections" obj=join id=f24004774489 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:53+0700 lvl=info msg="join connections" obj=join id=ba2cd6bbf4cb l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:55+0700 lvl=info msg="join connections" obj=join id=e1fc5d20da16 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:55+0700 lvl=info msg="join connections" obj=join id=b07e769d7b5a l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:38:55+0700 lvl=info msg="join connections" obj=join id=2f10d3cc8507 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:39:23+0700 lvl=info msg="join connections" obj=join id=5e0c3d7afeca l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:23+0700 lvl=info msg="join connections" obj=join id=70ad29725259 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:23+0700 lvl=info msg="join connections" obj=join id=c7d25c1e74a2 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:23+0700 lvl=info msg="join connections" obj=join id=68bc408e664e l=[::1]:8088 r=36.68.53.12:16834
